                   field                    |                relation                 |     type      
--------------------------------------------+-----------------------------------------+---------------
 added_by                                   | vocabulary_term_table                   | varchar(114)
 affiliation_description                    | affiliation_type_table                  | varchar(114)
 affiliation_type_name                      | affiliation_type_table                  | varchar(24)
 affiliation_type_name                      | person_organisational_affiliation_table | varchar(24)
 alternate_person_name_expression           | person_table                            | varchar(114)
 alternative_term_expression                | vocabulary_term_table                   | varchar(114)
 amendment_approval_date                    | amendment_table                         | date(-1)
 amendment_id                               | amendment_table                         | int4(-1)
 amendment_request_date                     | amendment_table                         | date(-1)
 amendment_type                             | amendment_table                         | varchar(54)
 association_type_name                      | association_type_table                  | varchar(24)
 association_type_name                      | external_associated_terms_table         | varchar(24)
 association_type_name                      | internal_associated_terms_table         | varchar(24)
 association_type_name_description          | association_type_table                  | varchar(1014)
 citation_string                            | reference_source_table                  | varchar(114)
 classification_scheme_category_description | classification_scheme_category_table    | varchar(1014)
 classification_scheme_category_id          | classification_scheme_association_table | int4(-1)
 classification_scheme_category_id          | classification_scheme_category_table    | int4(-1)
 classification_scheme_category_name        | classification_scheme_category_table    | varchar(1014)
 classification_scheme_description          | classification_scheme_table             | varchar(1014)
 classification_scheme_id                   | classification_scheme_association_table | int4(-1)
 classification_scheme_id                   | classification_scheme_category_table    | int4(-1)
 classification_scheme_id                   | classification_scheme_table             | int4(-1)
 classification_scheme_name                 | classification_scheme_table             | varchar(1014)
 contact_email                              | person_table                            | varchar(114)
 contact_mobile_number                      | person_table                            | varchar(24)
 contact_phone_number                       | person_table                            | varchar(24)
 date_added                                 | vocabulary_term_table                   | date(-1)
 date_of_last_change                        | vocabulary_register_table               | timestamp(6)
 date_status_amended                        | vocabulary_term_table                   | date(-1)
 external_relationship                      | vocabulary_term_table                   | bool(-1)
 external_term_uid                          | external_associated_terms_table         | varchar(514)
 internal_relationship                      | vocabulary_term_table                   | bool(-1)
 object_term_id                             | internal_associated_terms_table         | int4(-1)
 object_term_id                             | object_term_table                       | int4(-1)
 online_reference_resource                  | reference_source_table                  | varchar(204)
 online_term_resource                       | reference_source_table                  | varchar(204)
 organisation_acronym                       | organisation_name_table                 | bpchar(14)
 organisation_address                       | organisation_name_table                 | varchar(114)
 organisation_name                          | organisation_name_table                 | varchar(114)
 organisation_name                          | organisation_synonym_table              | varchar(114)
 organisation_name_description              | organisation_name_table                 | varchar(1004)
 organisation_name_id                       | amendment_table                         | int4(-1)
 organisation_name_id                       | organisation_name_table                 | int4(-1)
 organisation_name_id                       | organisation_synonym_table              | int4(-1)
 organisation_name_id                       | person_organisational_affiliation_table | int4(-1)
 organisation_name_id                       | register_manager_table                  | int4(-1)
 organisation_name_id                       | register_owner_table                    | int4(-1)
 organisation_name_id                       | term_proposer_table                     | int4(-1)
 organisation_name_status                   | organisation_name_table                 | bpchar(14)
 organisation_notes                         | organisation_name_table                 | varchar(1014)
 organisation_synonym                       | organisation_name_table                 | bool(-1)
 organisation_synonym_id                    | organisation_synonym_table              | int4(-1)
 person_id                                  | amendment_table                         | int4(-1)
 person_id                                  | person_organisational_affiliation_table | int4(-1)
