                relation                 |                   field                    
-----------------------------------------+--------------------------------------------
 affiliation_type_table                  | affiliation_description
 affiliation_type_table                  | affiliation_type_name
 amendment_table                         | amendment_approval_date
 amendment_table                         | amendment_id
 amendment_table                         | amendment_request_date
 amendment_table                         | amendment_type
 amendment_table                         | organisation_name_id
 amendment_table                         | person_id
 amendment_table                         | register_name
 amendment_table                         | vocabulary_term_code
 amendment_table                         | vocabulary_term_name
 association_type_table                  | association_type_name
 association_type_table                  | association_type_name_description
 classification_scheme_association_table | classification_scheme_category_id
 classification_scheme_association_table | classification_scheme_id
 classification_scheme_association_table | vocabulary_term_name
 classification_scheme_category_table    | classification_scheme_category_description
 classification_scheme_category_table    | classification_scheme_category_id
 classification_scheme_category_table    | classification_scheme_category_name
 classification_scheme_category_table    | classification_scheme_id
 classification_scheme_table             | classification_scheme_description
 classification_scheme_table             | classification_scheme_id
 classification_scheme_table             | classification_scheme_name
 external_associated_terms_table         | association_type_name
 external_associated_terms_table         | external_term_uid
 external_associated_terms_table         | vocabulary_term_name
 internal_associated_terms_table         | association_type_name
 internal_associated_terms_table         | object_term_id
 internal_associated_terms_table         | subject_term_id
 object_term_table                       | object_term_id
 object_term_table                       | vocabulary_term_name
 organisation_name_table                 | organisation_acronym
 organisation_name_table                 | organisation_address
 organisation_name_table                 | organisation_name
 organisation_name_table                 | organisation_name_description
 organisation_name_table                 | organisation_name_id
 organisation_name_table                 | organisation_name_status
 organisation_name_table                 | organisation_notes
 organisation_name_table                 | organisation_synonym
 organisation_synonym_table              | organisation_name
 organisation_synonym_table              | organisation_name_id
 organisation_synonym_table              | organisation_synonym_id
 person_organisational_affiliation_table | affiliation_type_name
 person_organisational_affiliation_table | organisation_name_id
 person_organisational_affiliation_table | person_id
 person_table                            | alternate_person_name_expression
 person_table                            | contact_email
 person_table                            | contact_mobile_number
 person_table                            | contact_phone_number
 person_table                            | person_id
 person_table                            | person_name
 person_table                            | person_salutation
 reference_source_table                  | citation_string
 reference_source_table                  | online_reference_resource
 reference_source_table                  | online_term_resource
 reference_source_table                  | reference_id
 register_manager_table                  | organisation_name_id
 register_manager_table                  | person_id
 register_manager_table                  | register_manager_id
 register_manager_table                  | register_name
 register_owner_table                    | organisation_name_id
 register_owner_table                    | person_id
 register_owner_table                    | register_name
 register_owner_table                    | register_owner_id
 subject_term_table                      | subject_term_id
 subject_term_table                      | vocabulary_term_name
 term_proposer_table                     | organisation_name_id
 term_proposer_table                     | person_id
 term_proposer_table                     | term_proposer_id
 vocabulary_register_table               | date_of_last_change
 vocabulary_register_table               | register_content_summary
 vocabulary_register_table               | register_date
 vocabulary_register_table               | register_language_code
 vocabulary_register_table               | register_language_country
 vocabulary_register_table               | register_language_encoding
 vocabulary_register_table               | register_language_name
 vocabulary_register_table               | register_name
 vocabulary_register_table               | register_version
 vocabulary_term_table                   | added_by
 vocabulary_term_table                   | alternative_term_expression
 vocabulary_term_table                   | date_added
 vocabulary_term_table                   | date_status_amended
 vocabulary_term_table                   | external_relationship
 vocabulary_term_table                   | internal_relationship
 vocabulary_term_table                   | proposal_term_status
 vocabulary_term_table                   | reference_source_id
 vocabulary_term_table                   | register_name
 vocabulary_term_table                   | term_notes
 vocabulary_term_table                   | term_proposer_id
 vocabulary_term_table                   | term_status
 vocabulary_term_table                   | vocabulary_instance_of
 vocabulary_term_table                   | vocabulary_term_ancillary_information
 vocabulary_term_table                   | vocabulary_term_code
 vocabulary_term_table                   | vocabulary_term_definition
 vocabulary_term_table                   | vocabulary_term_name
 vocabulary_term_table                   | vocabulary_term_short_name
 vocabulary_term_table                   | vocabulary_term_uid
 vocabulary_term_table                   | vocabulary_type_name
 vocabulary_type_table                   | vocabulary_type_definition
 vocabulary_type_table                   | vocabulary_type_name
(100 rows)

